package_name,weekly_downloads
@babel/plugin-transform-react-jsx-source,3669735
async-foreach,3663231
socks,3655011
mimic-response,3654446
lodash.camelcase,3649226
aria-query,3625297
css,3621528
lodash.isequal,3620643
log-update,3619903
rx-lite,3614314
flatten,3607520
jws,3594805
smart-buffer,3589052
math-random,3580433
jwa,3560677
pkg-up,3532252
mocha,3531530
append-transform,3529741
babel-plugin-syntax-object-rest-spread,3523193
@babel/plugin-transform-flow-strip-types,3521538
popper.js,3517283
circular-json,3516486
ast-types-flow,3508580
default-require-extensions,3505184
ecdsa-sig-formatter,3502856
damerau-levenshtein,3497439
long,3495425
raf,3491675
buffer-crc32,3479052
jsonwebtoken,3477023
home-or-tmp,3475852
ora,3474082
istanbul-lib-hook,3469848
common-tags,3468202
@typescript-eslint/typescript-estree,3466005
duplexer2,3460551
lodash.isstring,3451660
es6-weak-map,3447658
engine.io-parser,3446091
jsonparse,3435344
create-react-context,3415162
JSONStream,3407527
axobject-query,3403993
klaw,3401397
backo2,3378959
growl,3366833
array-slice,3360597
longest,3355681
@emotion/memoize,3353804
toposort,3345905
react-lifecycles-compat,3337264
global,3332789
webpack-merge,3317970
@babel/plugin-transform-react-jsx-self,3314718
deep-eql,3313264
lodash.once,3311424
@types/yargs-parser,3308170
pretty-bytes,3284178
stylehacks,3282974
@babel/plugin-transform-typescript,3282886
@babel/plugin-proposal-decorators,3279024
buffer-equal-constant-time,3274695
defaults,3261243
lodash.defaults,3258334
lodash.assign,3257585
css-unit-converter,3255736
@types/prop-types,3248459
babel-register,3219619
v8flags,3211590
socks-proxy-agent,3208254
@sindresorhus/is,3205201
lodash.merge,3196003
lodash.escape,3186369
ts-node,3179029
base64-arraybuffer,3178132
callsite,3173822
babel-helpers,3171823
connect,3166519
chai,3165291
stringify-object,3158835
eslint-plugin-jsx-a11y,3157600
xmlhttprequest-ssl,3155181
cssnano-preset-default,3149430
react-error-overlay,3145742
hex-color-regex,3145662
assertion-error,3142859
postcss-normalize-timing-functions,3142631
postcss-normalize-repeat-style,3142503
postcss-normalize-string,3142472
postcss-normalize-positions,3140395
postcss-normalize-display-values,3140388
postcss-normalize-whitespace,3139999
shallowequal,3138910
@hapi/hoek,3138521
blob,3132939
tslint,3128869
get-own-enumerable-property-symbols,3124720
rgba-regex,3122975
arraybuffer.slice,3116513
css-declaration-sorter,3110739
postcss-normalize-unicode,3107689
cssnano-util-raw-cache,3107100
cssnano-util-same-parent,3099936
timsort,3095797
lodash.isarguments,3082962
socket.io,3081767
webpack-cli,3081153
